numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst,confianza_binaria
411,3,2,6,3,0,"9,4375",1
412,3,1,2,4,0,"7,1875",0
413,2,1,4,3,0,"3,8125",0
414,4,3,6,3,0,10,1
415,2,1,4,2,0,"5,5",0
416,3,3,5,3,0,"8,875",1
418,4,3,2,3,0,10,1
419,3,2,4,4,0,10,1
420,1,1,4,5,0,"9,4375",1
421,3,3,6,3,0,"3,8125",0
422,3,2,4,4,70,"8,3125",1
423,3,3,4,5,0,10,1
424,1,2,4,4,0,"7,75",0
425,3,1,4,5,0,"7,75",0
426,3,3,2,4,0,10,1
427,3,2,4,5,50,"8,875",1
428,4,1,4,5,0,"8,875",1
429,3,1,4,3,0,"9,4375",1
430,3,1,2,5,0,10,1
431,3,1,4,4,0,"7,75",0
432,3,3,4,4,30,"9,4375",1
433,3,1,2,4,0,"8,875",1
434,3,3,6,2,0,"9,4375",1
435,3,3,4,2,50,"8,3125",1
436,4,1,4,3,0,"8,3125",1
437,3,3,4,4,0,"7,1875",0
438,4,1,4,3,30,10,1
439,3,1,3,5,0,"7,75",0
440,4,3,3,3,0,"9,4375",1
441,4,3,6,2,0,"9,4375",1
442,3,3,2,4,0,10,1
444,4,2,4,3,0,10,1
445,3,2,4,5,0,10,1
446,2,3,2,3,30,"8,875",1
447,3,3,6,3,30,"8,875",1
448,4,2,4,4,0,"8,3125",1
449,3,1,4,3,0,"7,75",0
450,4,1,2,3,30,10,1
451,3,1,2,3,0,"9,4375",1
452,3,3,4,4,30,10,1
453,3,1,4,3,0,"8,875",1
454,1,1,6,3,0,10,1
455,2,3,4,2,50,"8,3125",1
456,3,1,6,4,30,10,1
458,3,1,4,3,0,"8,3125",1
459,4,1,4,4,0,"8,875",1
460,3,1,6,2,0,10,1
461,3,2,4,3,0,"9,4375",1
463,4,1,6,2,30,10,1
464,3,3,3,4,0,"7,75",0
465,3,1,2,4,0,10,1
466,2,1,4,3,30,"8,3125",1
467,4,3,4,4,0,"9,4375",1
468,4,1,4,3,50,10,1
469,3,3,4,3,0,"9,4375",1
470,4,3,2,3,50,"8,875",1
471,2,3,3,3,0,"8,3125",1
472,3,3,4,1,30,10,1
473,3,1,4,3,30,"8,875",1
475,4,2,2,3,30,10,1
476,4,1,4,5,30,10,1
477,4,2,4,4,0,10,1
478,3,3,5,3,50,"8,875",1
479,4,1,4,4,0,"9,4375",1
480,3,3,4,3,0,10,1
481,3,1,4,4,0,"8,3125",1
482,3,1,4,4,0,"8,875",1
484,3,1,4,4,50,"8,875",1
485,3,1,4,5,30,"6,0625",0
486,2,1,4,3,0,"7,75",0
488,3,3,6,5,30,10,1
489,3,2,4,3,50,10,1
492,4,1,4,5,0,10,1
495,2,1,4,5,30,"4,375",0
497,4,3,7,3,30,10,1
498,3,1,4,5,0,"8,875",1
499,3,1,6,5,0,"8,3125",1
500,4,3,5,2,0,10,1
502,4,1,5,5,0,"4,9375",0
503,3,1,3,2,50,"8,875",1
505,2,1,6,4,30,"9,4375",1
507,4,3,4,5,0,10,1
509,4,1,4,4,0,10,1
510,3,2,6,3,0,10,1
511,3,1,4,5,0,"8,3125",1
512,3,1,4,4,0,"7,75",0
514,4,3,2,3,30,"9,4375",1
515,2,1,4,3,30,"6,625",0
516,3,3,4,3,0,"7,75",0
518,3,1,5,4,0,"7,1875",0
519,4,1,2,5,0,10,1
520,4,1,4,4,0,"8,875",1
521,3,1,4,4,0,"8,3125",1
522,3,3,3,4,0,10,1
523,3,1,4,3,0,10,1
524,3,1,6,3,50,10,1
525,4,3,2,5,0,10,1
526,3,1,6,5,30,10,1
527,3,1,4,4,0,"7,1875",0
529,1,1,4,4,0,"8,3125",1
530,4,1,4,3,30,10,1
531,4,2,4,5,30,"8,3125",1
532,3,1,3,4,0,"8,875",1
534,3,3,4,3,30,"7,75",0
535,2,2,6,3,30,"7,75",0
536,3,3,4,4,0,"5,5",0
537,3,1,7,5,0,"7,1875",0
543,4,2,4,5,0,"8,3125",1
546,3,3,6,2,0,"7,1875",0
549,3,2,5,3,30,"8,3125",1
551,3,3,3,3,30,"6,625",0
552,4,2,4,3,0,10,1
553,2,1,3,3,30,"8,875",1
554,4,3,4,3,30,10,1
555,3,2,2,1,50,"8,3125",1
556,3,2,4,5,0,10,1
557,3,2,4,5,30,"8,3125",1
558,3,3,4,3,0,"8,3125",1
559,3,1,4,5,0,"6,625",0
560,4,1,4,2,0,10,1
562,3,3,6,5,0,10,1
563,4,3,2,3,0,10,1
564,4,1,6,3,0,"8,875",1
565,3,1,5,1,50,"7,75",0
566,4,3,6,3,0,"8,3125",1
568,1,3,5,5,0,10,1
569,3,1,4,3,0,"8,3125",1
570,3,1,7,4,0,"9,4375",1
571,4,1,3,3,30,"8,875",1
572,3,1,3,3,0,"6,625",0
573,3,3,3,4,70,"6,625",0
574,4,1,3,3,30,"7,1875",0
575,3,1,3,5,50,"8,3125",1
576,4,3,3,1,0,"7,1875",0
577,4,3,3,4,30,"7,75",0
578,3,2,3,5,30,"7,75",0
579,3,3,3,3,50,"7,75",0
581,4,3,3,1,0,"5,5",0
582,4,3,3,2,0,"9,4375",1
583,1,3,3,3,30,"6,625",0
584,4,3,3,4,0,"9,4375",1
585,3,2,3,4,0,"8,875",1
586,3,1,3,3,0,"9,4375",1
587,3,3,3,5,0,"8,3125",1
588,3,1,5,3,50,"8,875",1
589,3,2,2,4,30,"8,3125",1
590,1,2,3,4,0,"7,1875",0
591,4,3,3,2,0,"8,875",1
592,3,3,3,4,0,"6,625",0
593,1,1,3,4,0,"7,75",0
595,3,1,3,4,30,"8,3125",1
597,2,1,3,3,50,"8,3125",1
598,3,3,3,3,30,"7,1875",0
599,3,2,3,5,50,"7,75",0
600,3,3,3,3,0,"7,75",0
601,1,1,3,1,30,"7,75",0
602,3,3,3,3,0,"7,75",0
603,1,3,3,4,30,"3,25",0
604,1,2,3,4,30,"3,25",0
605,3,1,3,5,30,10,1
607,3,3,3,2,50,"7,1875",0
609,4,2,3,1,30,"9,4375",1
610,3,1,3,4,0,"9,4375",1
611,4,3,2,4,0,10,1
612,4,1,4,4,0,"9,4375",1
613,2,3,4,3,0,"7,75",0
615,4,1,5,3,0,10,1
616,3,3,2,3,0,"9,4375",1
619,3,1,6,4,30,"8,875",1
